Time,Dominant Emotion,All Emotions
18:18:45,neutral,"{'angry': np.float32(0.6920117), 'disgust': np.float32(8.480971e-13), 'fear': np.float32(0.0012412607), 'happy': np.float32(7.923957e-06), 'sad': np.float32(0.47019404), 'surprise': np.float32(9.0039764e-05), 'neutral': np.float32(98.83646)}"
18:18:45,neutral,"{'angry': np.float32(0.11843593), 'disgust': np.float32(4.7061183e-13), 'fear': np.float32(0.02592481), 'happy': np.float32(2.4699893e-05), 'sad': np.float32(0.044140335), 'surprise': np.float32(0.0027228377), 'neutral': np.float32(99.808754)}"
18:18:45,neutral,"{'angry': np.float32(5.713873), 'disgust': np.float32(6.759069e-13), 'fear': np.float32(0.0056112264), 'happy': np.float32(0.0037318848), 'sad': np.float32(0.06542479), 'surprise': np.float32(0.00015144084), 'neutral': np.float32(94.21121)}"
18:18:45,neutral,"{'angry': np.float32(5.713873), 'disgust': np.float32(6.759069e-13), 'fear': np.float32(0.0056112264), 'happy': np.float32(0.0037318848), 'sad': np.float32(0.06542479), 'surprise': np.float32(0.00015144084), 'neutral': np.float32(94.21121)}"
18:18:45,neutral,"{'angry': np.float32(0.6124072), 'disgust': np.float32(1.9502295e-08), 'fear': np.float32(0.10963711), 'happy': np.float32(5.1233234e-05), 'sad': np.float32(1.346404), 'surprise': np.float32(1.1121992e-05), 'neutral': np.float32(97.931496)}"
18:18:45,neutral,"{'angry': np.float32(0.05821347), 'disgust': np.float32(1.8239078e-12), 'fear': np.float32(6.370735), 'happy': np.float32(0.5270785), 'sad': np.float32(0.013208711), 'surprise': np.float32(0.07405375), 'neutral': np.float32(92.95671)}"
18:18:45,neutral,"{'angry': np.float32(0.05821347), 'disgust': np.float32(1.8239078e-12), 'fear': np.float32(6.370735), 'happy': np.float32(0.5270785), 'sad': np.float32(0.013208711), 'surprise': np.float32(0.07405375), 'neutral': np.float32(92.95671)}"
18:18:45,neutral,"{'angry': np.float32(5.1087537), 'disgust': np.float32(9.698548e-06), 'fear': np.float32(2.3854845), 'happy': np.float32(0.00032919284), 'sad': np.float32(11.858037), 'surprise': np.float32(0.0006510856), 'neutral': np.float32(80.646736)}"
18:18:45,neutral,"{'angry': np.float32(5.1087537), 'disgust': np.float32(9.698548e-06), 'fear': np.float32(2.3854845), 'happy': np.float32(0.00032919284), 'sad': np.float32(11.858037), 'surprise': np.float32(0.0006510856), 'neutral': np.float32(80.646736)}"
18:18:45,neutral,"{'angry': np.float32(0.082580194), 'disgust': np.float32(1.7926712e-07), 'fear': np.float32(4.7771907), 'happy': np.float32(0.22385006), 'sad': np.float32(0.5751219), 'surprise': np.float32(0.2044616), 'neutral': np.float32(94.136795)}"
18:18:45,neutral,"{'angry': np.float32(0.03390733), 'disgust': np.float32(2.6714098e-10), 'fear': np.float32(9.3876705), 'happy': np.float32(0.17186694), 'sad': np.float32(0.6738341), 'surprise': np.float32(0.0006060456), 'neutral': np.float32(89.73212)}"
18:18:45,neutral,"{'angry': np.float32(0.03390733), 'disgust': np.float32(2.6714098e-10), 'fear': np.float32(9.3876705), 'happy': np.float32(0.17186694), 'sad': np.float32(0.6738341), 'surprise': np.float32(0.0006060456), 'neutral': np.float32(89.73212)}"
18:18:45,neutral,"{'angry': np.float32(1.6378145), 'disgust': np.float32(1.0629863e-06), 'fear': np.float32(1.488532), 'happy': np.float32(0.1854715), 'sad': np.float32(8.924434), 'surprise': np.float32(0.12751119), 'neutral': np.float32(87.63624)}"
18:18:45,neutral,"{'angry': np.float32(0.8351679), 'disgust': np.float32(1.1578707e-09), 'fear': np.float32(2.8439314), 'happy': np.float32(0.06390302), 'sad': np.float32(1.1571354), 'surprise': np.float32(0.5965028), 'neutral': np.float32(94.503365)}"
18:18:46,neutral,"{'angry': np.float32(0.8351679), 'disgust': np.float32(1.1578707e-09), 'fear': np.float32(2.8439314), 'happy': np.float32(0.06390302), 'sad': np.float32(1.1571354), 'surprise': np.float32(0.5965028), 'neutral': np.float32(94.503365)}"
18:18:46,neutral,"{'angry': np.float32(0.08237377), 'disgust': np.float32(9.599492e-10), 'fear': np.float32(5.463545), 'happy': np.float32(0.9554779), 'sad': np.float32(0.07200589), 'surprise': np.float32(0.45521045), 'neutral': np.float32(92.97139)}"
18:18:46,neutral,"{'angry': np.float32(0.031868365), 'disgust': np.float32(4.682434e-10), 'fear': np.float32(2.447774), 'happy': np.float32(0.19801997), 'sad': np.float32(0.08011499), 'surprise': np.float32(0.0466948), 'neutral': np.float32(97.195526)}"
18:18:46,neutral,"{'angry': np.float32(0.031868365), 'disgust': np.float32(4.682434e-10), 'fear': np.float32(2.447774), 'happy': np.float32(0.19801997), 'sad': np.float32(0.08011499), 'surprise': np.float32(0.0466948), 'neutral': np.float32(97.195526)}"
18:18:46,neutral,"{'angry': np.float32(0.00019876959), 'disgust': np.float32(3.245997e-13), 'fear': np.float32(5.0183096), 'happy': np.float32(0.018955877), 'sad': np.float32(0.020990651), 'surprise': np.float32(0.008399942), 'neutral': np.float32(94.93315)}"
18:18:46,neutral,"{'angry': np.float32(0.0001066595), 'disgust': np.float32(4.0222857e-14), 'fear': np.float32(0.47981882), 'happy': np.float32(0.0030144174), 'sad': np.float32(0.0072674723), 'surprise': np.float32(0.022570323), 'neutral': np.float32(99.48722)}"
18:18:46,neutral,"{'angry': np.float32(0.0001066595), 'disgust': np.float32(4.0222857e-14), 'fear': np.float32(0.47981882), 'happy': np.float32(0.0030144174), 'sad': np.float32(0.0072674723), 'surprise': np.float32(0.022570323), 'neutral': np.float32(99.48722)}"
